,en,ja
addcompany,Assign New Company,会社登録
empoloyee,Empoloyee,社員
addproject,Assign New Project,新規プロジェクト
masterproject,Link to,紐付ける
subadmin,Other Admins,他の管理者
members,Members,メンバー
invite,Invite with URL,URLで招待する
friend,Friend,フレンド
user_name,User Name,ユーザ名
real_name,Real Name,本名
email,email,Eメール
phone_number,Phone,電話番号
address,Address,住所
gotologin,Already have an account?,すでにアカウントがある
gotosignup,Create a New Account?,アカウントを新規作成する
